"2022-05-07 15:09:04.175" - "TYPE_PROXIMITY" - "5.0"
"2022-05-07 15:09:04.178" - "LIGHT" - "26.0"
"2022-05-07 15:09:04.179" - "ACCELEROMETER" - "-0.58328116,1.668571,7.5167437"
"2022-05-07 15:09:04.198" - "ACCELEROMETER" - "-0.5275365,1.8042704,7.809166"
"2022-05-07 15:09:04.216" - "ACCELEROMETER" - "-0.4750939,1.3630631,7.2326503"
"2022-05-07 15:09:04.234" - "ACCELEROMETER" - "0.20198637,1.7067171,7.257779"
"2022-05-07 15:09:04.236" - "GYROSCOPE" - "0.03726277872920036,-0.21186551451683044,0.3076840937137604"
"2022-05-07 15:09:04.257" - "MAGNETOMETER" - "-12.75,5.125,-40.625"
"2022-05-07 15:09:04.258" - "ACCELEROMETER" - "0.27277043,2.2063127,7.4143023"
"2022-05-07 15:09:04.259" - "GYROSCOPE" - "0.0021293016616255045,-0.15863297879695892,0.17034412920475006"
"2022-05-07 15:09:04.275" - "MAGNETOMETER" - "-13.4375,4.875,-39.5"
"2022-05-07 15:09:04.277" - "ACCELEROMETER" - "-0.1957193,2.2112386,7.379374"
"2022-05-07 15:09:04.279" - "GYROSCOPE" - "0.05216789245605469,-0.25019294023513794,0.15330971777439117"
"2022-05-07 15:09:04.280" - "LIGHT" - "26.0"
"2022-05-07 15:09:04.295" - "MAGNETOMETER" - "-13.875,5.0,-39.4375"
"2022-05-07 15:09:04.296" - "ACCELEROMETER" - "-0.15747336,2.0746582,7.124608"
"2022-05-07 15:09:04.297" - "GYROSCOPE" - "0.05429719388484955,-0.19908970594406128,0.20547761023044586"
"2022-05-07 15:09:04.315" - "MAGNETOMETER" - "-14.0,5.0625,-39.625"
"2022-05-07 15:09:04.316" - "ACCELEROMETER" - "0.17209138,1.8560618,6.8803463"
"2022-05-07 15:09:04.318" - "GYROSCOPE" - "-0.13840460777282715,-0.06707300245761871,0.21612411737442017"
"2022-05-07 15:09:04.335" - "MAGNETOMETER" - "-14.4375,5.5625,-39.5"
"2022-05-07 15:09:04.340" - "ACCELEROMETER" - "0.23539026,1.787806,7.2780824"
"2022-05-07 15:09:04.341" - "GYROSCOPE" - "-0.2352878302335739,0.03193952515721321,0.1543743759393692"
"2022-05-07 15:09:04.354" - "MAGNETOMETER" - "-14.5625,5.875,-39.4375"
"2022-05-07 15:09:04.356" - "ACCELEROMETER" - "0.19468498,1.8004858,7.4240017"
"2022-05-07 15:09:04.357" - "GYROSCOPE" - "-0.25445154309272766,0.02555162087082863,0.10965903848409653"
"2022-05-07 15:09:04.374" - "MAGNETOMETER" - "-14.4375,6.1875,-39.4375"
"2022-05-07 15:09:04.376" - "ACCELEROMETER" - "-0.069198176,1.8644818,7.528979"
"2022-05-07 15:09:04.377" - "GYROSCOPE" - "-0.26829200983047485,-0.02661627158522606,0.07665485888719559"
"2022-05-07 15:09:04.395" - "MAGNETOMETER" - "-14.375,6.375,-39.25"
"2022-05-07 15:09:04.396" - "ACCELEROMETER" - "-0.14662474,1.9318027,7.4823823"
"2022-05-07 15:09:04.397" - "GYROSCOPE" - "-0.24274039268493652,-0.05110324174165726,0.12562879920005798"
"2022-05-07 15:09:04.398" - "LIGHT" - "25.0"
"2022-05-07 15:09:04.414" - "MAGNETOMETER" - "-14.625,6.75,-39.0"
"2022-05-07 15:09:04.416" - "ACCELEROMETER" - "-0.025773102,1.7202244,7.3279963"
"2022-05-07 15:09:04.417" - "GYROSCOPE" - "-0.26083946228027344,-0.03087487444281578,0.12882275879383087"
"2022-05-07 15:09:04.435" - "MAGNETOMETER" - "-14.625,7.0,-38.8125"
"2022-05-07 15:09:04.436" - "ACCELEROMETER" - "0.24728082,1.6288617,7.504799"
"2022-05-07 15:09:04.437" - "GYROSCOPE" - "-0.3076840937137604,0.005323254037648439,0.11711159348487854"
