"2022-05-08 12:54:06.816" - "TYPE_PROXIMITY" - "5.0"
"2022-05-08 12:54:06.819" - "LIGHT" - "45.0"
"2022-05-08 12:54:06.833" - "ACCELEROMETER" - "-0.42063633,4.3035107,5.7336884"
"2022-05-08 12:54:06.835" - "LIGHT" - "46.0"
"2022-05-08 12:54:06.853" - "ACCELEROMETER" - "-0.13082685,4.741906,6.7708025"
"2022-05-08 12:54:06.889" - "ACCELEROMETER" - "-0.4894591,5.022292,7.2819743"
"2022-05-08 12:54:06.890" - "GYROSCOPE" - "-0.46418777108192444,-0.7771950960159302,0.11391764134168625"
"2022-05-08 12:54:06.910" - "MAGNETOMETER" - "-32.75,23.0625,-75.8125"
"2022-05-08 12:54:06.912" - "ACCELEROMETER" - "-0.7163452,4.985877,6.596827"
"2022-05-08 12:54:06.913" - "GYROSCOPE" - "-1.0199354887008667,-1.203055500984192,0.047909289598464966"
"2022-05-08 12:54:06.932" - "MAGNETOMETER" - "-34.125,24.75,-75.4375"
"2022-05-08 12:54:06.933" - "ACCELEROMETER" - "-1.0435042,5.3815756,7.6528797"
"2022-05-08 12:54:06.934" - "GYROSCOPE" - "-1.6172046661376953,-1.4234381914138794,0.3545287251472473"
"2022-05-08 12:54:06.950" - "MAGNETOMETER" - "-35.75,28.0625,-74.625"
"2022-05-08 12:54:06.952" - "ACCELEROMETER" - "0.39295554,5.1761565,8.721758"
"2022-05-08 12:54:06.953" - "GYROSCOPE" - "-1.8897552490234375,-1.4617656469345093,0.6526309847831726"
"2022-05-08 12:54:06.954" - "LIGHT" - "67.0"
"2022-05-08 12:54:06.969" - "MAGNETOMETER" - "-37.625,31.0,-73.5625"
"2022-05-08 12:54:06.971" - "ACCELEROMETER" - "2.183014,3.9613047,9.430143"
"2022-05-08 12:54:06.971" - "GYROSCOPE" - "-2.1250431537628174,-1.845039963722229,0.34175291657447815"
"2022-05-08 12:54:06.989" - "MAGNETOMETER" - "-39.8125,33.0,-72.8125"
"2022-05-08 12:54:06.990" - "ACCELEROMETER" - "3.1864643,3.2831821,10.537637"
"2022-05-08 12:54:06.991" - "GYROSCOPE" - "-1.935535192489624,-1.5235153436660767,-0.38753291964530945"
"2022-05-08 12:54:07.009" - "MAGNETOMETER" - "-41.125,32.875,-72.4375"
"2022-05-08 12:54:07.010" - "ACCELEROMETER" - "1.6373045,3.8918767,10.484251"
"2022-05-08 12:54:07.011" - "GYROSCOPE" - "-1.2232837677001953,-0.9965131878852844,-0.7889062762260437"
"2022-05-08 12:54:07.029" - "MAGNETOMETER" - "-41.0,31.3125,-73.3125"
"2022-05-08 12:54:07.031" - "ACCELEROMETER" - "-0.33098212,4.303189,10.68387"
"2022-05-08 12:54:07.032" - "GYROSCOPE" - "-0.22144737839698792,0.14905111491680145,-0.4812221825122833"
"2022-05-08 12:54:07.050" - "MAGNETOMETER" - "-39.25,28.0,-74.625"
"2022-05-08 12:54:07.051" - "ACCELEROMETER" - "-0.4976875,2.4156384,9.947996"
"2022-05-08 12:54:07.052" - "GYROSCOPE" - "0.9060178399085999,0.7921002507209778,0.37688639760017395"
"2022-05-08 12:54:07.069" - "MAGNETOMETER" - "-34.875,22.25,-77.6875"
"2022-05-08 12:54:07.071" - "ACCELEROMETER" - "0.46839783,1.8710476,8.366567"
"2022-05-08 12:54:07.072" - "GYROSCOPE" - "1.819488286972046,1.7385748624801636,1.011418342590332"
"2022-05-08 12:54:07.073" - "LIGHT" - "135.0"
"2022-05-08 12:54:07.089" - "MAGNETOMETER" - "-29.4375,14.5,-79.8125"
"2022-05-08 12:54:07.090" - "ACCELEROMETER" - "-1.583843,1.6422691,7.8163066"
"2022-05-08 12:54:07.091" - "GYROSCOPE" - "2.682920217514038,1.956828236579895,1.2509647607803345"
"2022-05-08 12:54:07.110" - "MAGNETOMETER" - "-23.6875,4.8125,-80.4375"
"2022-05-08 12:54:07.111" - "ACCELEROMETER" - "1.7172747,1.4475,6.2210865"
"2022-05-08 12:54:07.112" - "GYROSCOPE" - "3.4132707118988037,2.597748041152954,1.1966675519943237"
"2022-05-08 12:54:07.130" - "MAGNETOMETER" - "-16.4375,-2.1875,-79.3125"
"2022-05-08 12:54:07.131" - "ACCELEROMETER" - "-0.13012965,5.5677257,4.0411444"
"2022-05-08 12:54:07.132" - "GYROSCOPE" - "0.9826727509498596,3.4696969985961914,0.34601151943206787"
"2022-05-08 12:54:07.149" - "MAGNETOMETER" - "-8.6875,-7.875,-76.625"
"2022-05-08 12:54:07.150" - "ACCELEROMETER" - "-1.3340108,3.6885953,3.0019305"
"2022-05-08 12:54:07.151" - "GYROSCOPE" - "-0.126693457365036,4.309706687927246,-0.33110642433166504"
"2022-05-08 12:54:07.170" - "MAGNETOMETER" - "0.625,-11.5625,-72.4375"
"2022-05-08 12:54:07.172" - "ACCELEROMETER" - "-2.5678868,2.470364,4.7933683"
"2022-05-08 12:54:07.173" - "GYROSCOPE" - "-1.3627530336380005,5.783183574676514,-0.02981022372841835"
"2022-05-08 12:54:07.189" - "MAGNETOMETER" - "8.9375,-13.875,-67.375"
"2022-05-08 12:54:07.191" - "ACCELEROMETER" - "-3.3993678,3.5440392,3.7374985"
"2022-05-08 12:54:07.193" - "GYROSCOPE" - "-2.250671863555908,5.851321220397949,0.2842617630958557"
"2022-05-08 12:54:07.193" - "LIGHT" - "91.0"
"2022-05-08 12:54:07.209" - "MAGNETOMETER" - "13.125,-15.375,-62.125"
"2022-05-08 12:54:07.211" - "ACCELEROMETER" - "-5.5580034,3.117787,4.958871"
"2022-05-08 12:54:07.211" - "GYROSCOPE" - "-2.696760654449463,2.884139060974121,0.5919458866119385"
"2022-05-08 12:54:07.229" - "MAGNETOMETER" - "14.9375,-17.25,-57.875"
"2022-05-08 12:54:07.237" - "ACCELEROMETER" - "-3.8490186,2.683682,8.781258"
"2022-05-08 12:54:07.238" - "GYROSCOPE" - "-1.8588804006576538,1.4276968240737915,1.2232837677001953"
"2022-05-08 12:54:07.249" - "MAGNETOMETER" - "13.6875,-20.25,-54.3125"
"2022-05-08 12:54:07.251" - "ACCELEROMETER" - "-2.5328968,3.266871,5.635031"
"2022-05-08 12:54:07.251" - "GYROSCOPE" - "-0.4876100718975067,-1.2594819068908691,1.647014856338501"
"2022-05-08 12:54:07.269" - "MAGNETOMETER" - "10.8125,-23.0,-51.25"
"2022-05-08 12:54:07.271" - "ACCELEROMETER" - "0.69210434,4.4003434,5.1389456"
"2022-05-08 12:54:07.272" - "GYROSCOPE" - "-0.06068509817123413,-2.9139492511749268,1.4085330963134766"
"2022-05-08 12:54:07.289" - "MAGNETOMETER" - "7.5625,-25.1875,-48.75"
"2022-05-08 12:54:07.291" - "ACCELEROMETER" - "1.73295,4.530366,5.6713543"
"2022-05-08 12:54:07.291" - "GYROSCOPE" - "-0.12243484705686569,-3.7071142196655273,0.7995527982711792"
"2022-05-08 12:54:07.309" - "MAGNETOMETER" - "5.125,-26.875,-46.25"
"2022-05-08 12:54:07.312" - "ACCELEROMETER" - "1.579813,3.8737493,7.16395"
"2022-05-08 12:54:07.313" - "GYROSCOPE" - "0.2768092155456543,-3.7518296241760254,0.560006320476532"
"2022-05-08 12:54:07.314" - "LIGHT" - "29.0"
"2022-05-08 12:54:07.329" - "MAGNETOMETER" - "3.25,-28.875,-43.875"
"2022-05-08 12:54:07.332" - "ACCELEROMETER" - "2.1049514,4.715398,9.952762"
"2022-05-08 12:54:07.336" - "GYROSCOPE" - "0.9230522513389587,-2.89585018157959,-0.015969762578606606"
"2022-05-08 12:54:07.349" - "MAGNETOMETER" - "3.625,-30.375,-41.625"
"2022-05-08 12:54:07.351" - "ACCELEROMETER" - "2.9269176,4.768338,6.519484"
"2022-05-08 12:54:07.351" - "GYROSCOPE" - "1.3521065711975098,-1.491575837135315,-0.8985652923583984"
"2022-05-08 12:54:07.369" - "MAGNETOMETER" - "5.4375,-31.6875,-39.5625"
"2022-05-08 12:54:07.371" - "ACCELEROMETER" - "1.3057784,3.86333,7.849695"
"2022-05-08 12:54:07.372" - "GYROSCOPE" - "1.5969762802124023,0.08517206460237503,-1.1168187856674194"
"2022-05-08 12:54:07.389" - "MAGNETOMETER" - "7.5,-33.6875,-37.1875"
"2022-05-08 12:54:07.390" - "ACCELEROMETER" - "1.2782662,3.9291494,7.61609"
"2022-05-08 12:54:07.391" - "GYROSCOPE" - "2.203827142715454,0.8687551021575928,-1.0678447484970093"
"2022-05-08 12:54:07.409" - "MAGNETOMETER" - "7.875,-35.1875,-35.0"
"2022-05-08 12:54:07.411" - "ACCELEROMETER" - "0.13167726,3.603584,3.6609604"
"2022-05-08 12:54:07.412" - "GYROSCOPE" - "1.999414324760437,-1.5884590148925781,-0.7995527982711792"
"2022-05-08 12:54:07.429" - "MAGNETOMETER" - "7.0625,-36.5625,-32.875"
"2022-05-08 12:54:07.433" - "ACCELEROMETER" - "0.35376722,4.076724,6.3380075"
"2022-05-08 12:54:07.434" - "GYROSCOPE" - "1.6800190210342407,-1.9653455018997192,-0.6089802980422974"
"2022-05-08 12:54:07.435" - "LIGHT" - "34.0"
"2022-05-08 12:54:07.449" - "MAGNETOMETER" - "7.0625,-37.875,-31.0625"
"2022-05-08 12:54:07.451" - "ACCELEROMETER" - "1.3121758,4.577476,5.3677697"
"2022-05-08 12:54:07.452" - "GYROSCOPE" - "1.5277739763259888,-0.48548078536987305,-0.6473076939582825"
"2022-05-08 12:54:07.469" - "MAGNETOMETER" - "7.375,-38.75,-29.4375"
"2022-05-08 12:54:07.470" - "ACCELEROMETER" - "2.3935199,6.709487,4.2971587"
"2022-05-08 12:54:07.471" - "GYROSCOPE" - "1.2190252542495728,-0.3790156841278076,-1.0359052419662476"
